id,name,created_at,updated_at
77,BPEL,2020-03-20 14:28:23,2020-03-20 14:30:23
78,C,2020-03-20 14:28:23,2020-03-20 14:30:23
79,C--,2020-03-20 14:28:23,2020-03-20 14:30:23
80,C++ – ISO/IEC 14882,2020-03-20 14:28:23,2020-03-20 14:30:23
81,C# – ISO/IEC 23270,2020-03-20 14:28:23,2020-03-20 14:30:23
82,C/AL,2020-03-20 14:28:23,2020-03-20 14:30:23
83,Caché ObjectScript,2020-03-20 14:28:23,2020-03-20 14:30:23
84,C Shell,2020-03-20 14:28:23,2020-03-20 14:30:23
85,Caml,2020-03-20 14:28:23,2020-03-20 14:30:23
86,Cayenne,2020-03-20 14:28:23,2020-03-20 14:30:23
87,CDuce,2020-03-20 14:28:23,2020-03-20 14:30:23
88,Cecil,2020-03-20 14:28:23,2020-03-20 14:30:23
89,Cel,2020-03-20 14:28:23,2020-03-20 14:30:23
90,Cesil,2020-03-20 14:28:23,2020-03-20 14:30:23
91,Ceylon,2020-03-20 14:28:23,2020-03-20 14:30:23
92,CFEngine,2020-03-20 14:28:23,2020-03-20 14:30:23
93,CFML,2020-03-20 14:28:23,2020-03-20 14:30:23
94,Cg,2020-03-20 14:28:23,2020-03-20 14:30:23
95,Ch,2020-03-20 14:28:23,2020-03-20 14:30:23
96,Chapel,2020-03-20 14:28:23,2020-03-20 14:30:23
97,CHAIN,2020-03-20 14:28:23,2020-03-20 14:30:23
98,Charity,2020-03-20 14:28:23,2020-03-20 14:30:23
99,Charm,2020-03-20 14:28:23,2020-03-20 14:30:23
100,Chef,2020-03-20 14:28:23,2020-03-20 14:30:23
101,CHILL,2020-03-20 14:28:23,2020-03-20 14:30:23
102,CHIP-8,2020-03-20 14:28:23,2020-03-20 14:30:23
103,chomski,2020-03-20 14:28:23,2020-03-20 14:30:23
104,ChucK,2020-03-20 14:28:23,2020-03-20 14:30:23
105,CICS,2020-03-20 14:28:23,2020-03-20 14:30:23
106,Cilk,2020-03-20 14:28:23,2020-03-20 14:30:23
107,Citrine (programming language),2020-03-20 14:28:23,2020-03-20 14:30:23
108,CL (IBM),2020-03-20 14:28:23,2020-03-20 14:30:23
109,Claire,2020-03-20 14:28:23,2020-03-20 14:30:23
110,Clarion,2020-03-20 14:28:23,2020-03-20 14:30:23
111,Clean,2020-03-20 14:28:23,2020-03-20 14:30:23
112,Clipper,2020-03-20 14:28:23,2020-03-20 14:30:23
113,CLIST,2020-03-20 14:28:23,2020-03-20 14:30:23
114,Clojure,2020-03-20 14:28:23,2020-03-20 14:30:23
115,CLU,2020-03-20 14:28:23,2020-03-20 14:30:23
116,CMS-2,2020-03-20 14:28:23,2020-03-20 14:30:23
117,COBOL – ISO/IEC 1989,2020-03-20 14:28:23,2020-03-20 14:30:23
118,Cobra,2020-03-20 14:28:23,2020-03-20 14:30:23
119,CODE,2020-03-20 14:28:23,2020-03-20 14:30:23
120,CoffeeScript,2020-03-20 14:28:23,2020-03-20 14:30:23
121,ColdFusion,2020-03-20 14:28:23,2020-03-20 14:30:23
122,COMAL,2020-03-20 14:28:23,2020-03-20 14:30:23
123,Combined Programming Language (CPL),2020-03-20 14:28:23,2020-03-20 14:30:23
124,COMIT,2020-03-20 14:28:23,2020-03-20 14:30:23
125,Common Intermediate Language (CIL),2020-03-20 14:28:23,2020-03-20 14:30:23
126,Common Lisp (also known as CL),2020-03-20 14:28:23,2020-03-20 14:30:23
127,COMPASS,2020-03-20 14:28:23,2020-03-20 14:30:23
128,Component Pascal,2020-03-20 14:28:23,2020-03-20 14:30:23
129,Constraint Handling Rules (CHR),2020-03-20 14:28:23,2020-03-20 14:30:23
130,Converge,2020-03-20 14:28:23,2020-03-20 14:30:23
131,Cool,2020-03-20 14:28:23,2020-03-20 14:30:23
132,Coq,2020-03-20 14:28:23,2020-03-20 14:30:23
133,Coral 66,2020-03-20 14:28:23,2020-03-20 14:30:23
134,Corn,2020-03-20 14:28:23,2020-03-20 14:30:23
135,CorVision,2020-03-20 14:28:23,2020-03-20 14:30:23
136,COWSEL,2020-03-20 14:28:23,2020-03-20 14:30:23
137,CPL,2020-03-20 14:28:23,2020-03-20 14:30:23
138,Cryptol,2020-03-20 14:28:23,2020-03-20 14:30:23
139,csh,2020-03-20 14:28:23,2020-03-20 14:30:23
140,Csound,2020-03-20 14:28:23,2020-03-20 14:30:23
141,CSP,2020-03-20 14:28:23,2020-03-20 14:30:23
142,CUDA,2020-03-20 14:28:23,2020-03-20 14:30:23
143,Curl,2020-03-20 14:28:23,2020-03-20 14:30:23
144,Curry,2020-03-20 14:28:23,2020-03-20 14:30:23
145,Cyclone,2020-03-20 14:28:23,2020-03-20 14:30:23
146,Cython,2020-03-20 14:28:23,2020-03-20 14:30:23
147,D,2020-03-20 14:28:23,2020-03-20 14:30:23
148,DASL (Datapoint's Advanced Systems Language),2020-03-20 14:28:23,2020-03-20 14:30:23
149,DASL (Distributed Application Specification Language),2020-03-20 14:28:23,2020-03-20 14:30:23
150,Dart,2020-03-20 14:28:23,2020-03-20 14:30:23
151,DataFlex,2020-03-20 14:28:23,2020-03-20 14:30:23
152,Datalog,2020-03-20 14:28:23,2020-03-20 14:30:23
153,DATATRIEVE,2020-03-20 14:28:23,2020-03-20 14:30:23
154,dBase,2020-03-20 14:28:23,2020-03-20 14:30:23
155,dc,2020-03-20 14:28:23,2020-03-20 14:30:23
156,DCL,2020-03-20 14:28:23,2020-03-20 14:30:23
157,Deesel (formerly G),2020-03-20 14:28:23,2020-03-20 14:30:23
158,Delphi,2020-03-20 14:28:23,2020-03-20 14:30:23
159,DinkC,2020-03-20 14:28:23,2020-03-20 14:30:23
160,DIBOL,2020-03-20 14:28:23,2020-03-20 14:30:23
161,Dog,2020-03-20 14:28:23,2020-03-20 14:30:23
162,Draco,2020-03-20 14:28:23,2020-03-20 14:30:23
163,DRAKON,2020-03-20 14:28:23,2020-03-20 14:30:23
164,Dylan,2020-03-20 14:28:23,2020-03-20 14:30:23
165,DYNAMO,2020-03-20 14:28:23,2020-03-20 14:30:23
166,E,2020-03-20 14:28:23,2020-03-20 14:30:23
167,E#,2020-03-20 14:28:23,2020-03-20 14:30:23
168,Ease,2020-03-20 14:28:23,2020-03-20 14:30:23
169,Easy PL/I,2020-03-20 14:28:23,2020-03-20 14:30:23
170,Easy Programming Language,2020-03-20 14:28:23,2020-03-20 14:30:23
171,EASYTRIEVE PLUS,2020-03-20 14:28:23,2020-03-20 14:30:23
172,ECMAScript,2020-03-20 14:28:23,2020-03-20 14:30:23
173,Edinburgh IMP,2020-03-20 14:28:23,2020-03-20 14:30:23
174,EGL,2020-03-20 14:28:23,2020-03-20 14:30:23
175,Eiffel,2020-03-20 14:28:23,2020-03-20 14:30:23
176,ELAN,2020-03-20 14:28:23,2020-03-20 14:30:23
177,Elixir,2020-03-20 14:28:23,2020-03-20 14:30:23
178,Elm,2020-03-20 14:28:23,2020-03-20 14:30:23
179,Emacs Lisp,2020-03-20 14:28:23,2020-03-20 14:30:23
180,Emerald,2020-03-20 14:28:23,2020-03-20 14:30:23
181,Epigram,2020-03-20 14:28:23,2020-03-20 14:30:23
182,EPL,2020-03-20 14:28:23,2020-03-20 14:30:23
183,Erlang,2020-03-20 14:28:23,2020-03-20 14:30:23
184,es,2020-03-20 14:28:23,2020-03-20 14:30:23
185,Escher,2020-03-20 14:28:23,2020-03-20 14:30:23
186,ESPOL,2020-03-20 14:28:23,2020-03-20 14:30:23
187,Esterel,2020-03-20 14:28:23,2020-03-20 14:30:23
188,Etoys,2020-03-20 14:28:23,2020-03-20 14:30:23
189,Euclid,2020-03-20 14:28:23,2020-03-20 14:30:23
190,Euler,2020-03-20 14:28:23,2020-03-20 14:30:23
191,Euphoria,2020-03-20 14:28:23,2020-03-20 14:30:23
192,EusLisp Robot Programming Language,2020-03-20 14:28:23,2020-03-20 14:30:23
193,CMS EXEC (EXEC),2020-03-20 14:28:23,2020-03-20 14:30:23
194,EXEC 2,2020-03-20 14:28:23,2020-03-20 14:30:23
195,Executable UML,2020-03-20 14:28:23,2020-03-20 14:30:23
196,F,2020-03-20 14:28:23,2020-03-20 14:30:23
197,F#,2020-03-20 14:28:23,2020-03-20 14:30:23
198,Factor,2020-03-20 14:28:23,2020-03-20 14:30:23
199,Falcon,2020-03-20 14:28:23,2020-03-20 14:30:23
200,Fantom,2020-03-20 14:28:23,2020-03-20 14:30:23
201,FAUST,2020-03-20 14:28:23,2020-03-20 14:30:23
202,FFP,2020-03-20 14:28:23,2020-03-20 14:30:23
203,Fjölnir,2020-03-20 14:28:23,2020-03-20 14:30:23
204,FL,2020-03-20 14:28:23,2020-03-20 14:30:23
205,Flavors,2020-03-20 14:28:23,2020-03-20 14:30:23
206,Flex,2020-03-20 14:28:23,2020-03-20 14:30:23
207,FlooP,2020-03-20 14:28:23,2020-03-20 14:30:23
208,FLOW-MATIC,2020-03-20 14:28:23,2020-03-20 14:30:23
209,FOCAL,2020-03-20 14:28:23,2020-03-20 14:30:23
210,FOCUS,2020-03-20 14:28:23,2020-03-20 14:30:23
211,FOIL,2020-03-20 14:28:23,2020-03-20 14:30:23
212,FORMAC,2020-03-20 14:28:23,2020-03-20 14:30:23
213,@Formula,2020-03-20 14:28:23,2020-03-20 14:30:23
214,Forth,2020-03-20 14:28:23,2020-03-20 14:30:23
215,Fortran – ISO/IEC 1539,2020-03-20 14:28:23,2020-03-20 14:30:23
216,Fortress,2020-03-20 14:28:23,2020-03-20 14:30:23
217,FoxBase,2020-03-20 14:28:23,2020-03-20 14:30:23
218,FoxPro,2020-03-20 14:28:23,2020-03-20 14:30:23
219,FP,2020-03-20 14:28:23,2020-03-20 14:30:23
220,FPr,2020-03-20 14:28:23,2020-03-20 14:30:23
221,Franz Lisp,2020-03-20 14:28:23,2020-03-20 14:30:23
222,Frege,2020-03-20 14:28:23,2020-03-20 14:30:23
223,F-Script,2020-03-20 14:28:23,2020-03-20 14:30:23
224,G,2020-03-20 14:28:23,2020-03-20 14:30:23
225,Game Maker Language,2020-03-20 14:28:23,2020-03-20 14:30:23
226,GameMonkey Script,2020-03-20 14:28:23,2020-03-20 14:30:23
227,GAMS,2020-03-20 14:28:23,2020-03-20 14:30:23
228,GAP,2020-03-20 14:28:23,2020-03-20 14:30:23
229,G-code,2020-03-20 14:28:23,2020-03-20 14:30:23
230,Genie,2020-03-20 14:28:23,2020-03-20 14:30:23
231,GDL,2020-03-20 14:28:23,2020-03-20 14:30:23
232,GJ,2020-03-20 14:28:23,2020-03-20 14:30:23
233,GEORGE,2020-03-20 14:28:23,2020-03-20 14:30:23
234,GLSL,2020-03-20 14:28:23,2020-03-20 14:30:23
235,GNU E,2020-03-20 14:28:23,2020-03-20 14:30:23
236,GM,2020-03-20 14:28:23,2020-03-20 14:30:23
237,Go,2020-03-20 14:28:23,2020-03-20 14:30:23
238,Go!,2020-03-20 14:28:23,2020-03-20 14:30:23
239,GOAL,2020-03-20 14:28:23,2020-03-20 14:30:23
240,Gödel,2020-03-20 14:28:23,2020-03-20 14:30:23
241,Godiva,2020-03-20 14:28:23,2020-03-20 14:30:23
242,Golo,2020-03-20 14:28:23,2020-03-20 14:30:23
243,GOM (Good Old Mad),2020-03-20 14:28:23,2020-03-20 14:30:23
244,Google Apps Script,2020-03-20 14:28:23,2020-03-20 14:30:23
245,Gosu,2020-03-20 14:28:23,2020-03-20 14:30:23
246,GOTRAN,2020-03-20 14:28:23,2020-03-20 14:30:23
247,GPSS,2020-03-20 14:28:23,2020-03-20 14:30:23
248,GraphTalk,2020-03-20 14:28:23,2020-03-20 14:30:23
249,GRASS,2020-03-20 14:28:23,2020-03-20 14:30:23
250,Groovy,2020-03-20 14:28:23,2020-03-20 14:30:23
251,Hack,2020-03-20 14:28:23,2020-03-20 14:30:23
252,HAL/S,2020-03-20 14:28:23,2020-03-20 14:30:23
253,Hamilton C shell,2020-03-20 14:28:23,2020-03-20 14:30:23
254,Harbour,2020-03-20 14:28:23,2020-03-20 14:30:23
255,Hartmann pipelines,2020-03-20 14:28:23,2020-03-20 14:30:23
256,Haskell,2020-03-20 14:28:23,2020-03-20 14:30:23
257,Haxe,2020-03-20 14:28:23,2020-03-20 14:30:23
258,High Level Assembly,2020-03-20 14:28:23,2020-03-20 14:30:23
259,HLSL,2020-03-20 14:28:23,2020-03-20 14:30:23
260,Hop,2020-03-20 14:28:23,2020-03-20 14:30:23
261,Hopscotch,2020-03-20 14:28:23,2020-03-20 14:30:23
262,Hope,2020-03-20 14:28:23,2020-03-20 14:30:23
263,Hugo,2020-03-20 14:28:23,2020-03-20 14:30:23
264,Hume,2020-03-20 14:28:23,2020-03-20 14:30:23
265,HyperTalk,2020-03-20 14:28:23,2020-03-20 14:30:23
266,IBM Basic assembly language,2020-03-20 14:28:23,2020-03-20 14:30:23
267,IBM HAScript,2020-03-20 14:28:23,2020-03-20 14:30:23
268,IBM Informix-4GL,2020-03-20 14:28:23,2020-03-20 14:30:23
269,IBM RPG,2020-03-20 14:28:23,2020-03-20 14:30:23
270,ICI,2020-03-20 14:28:23,2020-03-20 14:30:23
271,Icon,2020-03-20 14:28:23,2020-03-20 14:30:23
272,Id,2020-03-20 14:28:23,2020-03-20 14:30:23
273,IDL,2020-03-20 14:28:23,2020-03-20 14:30:23
274,Idris,2020-03-20 14:28:23,2020-03-20 14:30:23
275,IMP,2020-03-20 14:28:23,2020-03-20 14:30:23
276,Inform,2020-03-20 14:28:23,2020-03-20 14:30:23
277,Io,2020-03-20 14:28:23,2020-03-20 14:30:23
278,Ioke,2020-03-20 14:28:23,2020-03-20 14:30:23
279,IPL,2020-03-20 14:28:23,2020-03-20 14:30:23
280,IPTSCRAE,2020-03-20 14:28:23,2020-03-20 14:30:23
281,ISLISP,2020-03-20 14:28:23,2020-03-20 14:30:23
282,ISPF,2020-03-20 14:28:23,2020-03-20 14:30:23
283,ISWIM,2020-03-20 14:28:23,2020-03-20 14:30:23
284,J,2020-03-20 14:28:23,2020-03-20 14:30:23
285,J#,2020-03-20 14:28:23,2020-03-20 14:30:23
286,J++,2020-03-20 14:28:23,2020-03-20 14:30:23
287,JADE,2020-03-20 14:28:23,2020-03-20 14:30:23
288,Jako,2020-03-20 14:28:23,2020-03-20 14:30:23
289,JAL,2020-03-20 14:28:23,2020-03-20 14:30:23
290,Janus (concurrent constraint programming language),2020-03-20 14:28:23,2020-03-20 14:30:23
291,Janus (time-reversible computing programming language),2020-03-20 14:28:23,2020-03-20 14:30:23
292,JASS,2020-03-20 14:28:23,2020-03-20 14:30:23
293,Java,2020-03-20 14:28:23,2020-03-20 14:30:23
294,JavaScript,2020-03-20 14:28:23,2020-03-20 14:30:23
295,JCL,2020-03-20 14:28:23,2020-03-20 14:30:23
296,JEAN,2020-03-20 14:28:23,2020-03-20 14:30:23
297,Join Java,2020-03-20 14:28:23,2020-03-20 14:30:23
298,JOSS,2020-03-20 14:28:23,2020-03-20 14:30:23
299,Joule,2020-03-20 14:28:23,2020-03-20 14:30:23
300,JOVIAL,2020-03-20 14:28:23,2020-03-20 14:30:23
301,Joy,2020-03-20 14:28:23,2020-03-20 14:30:23
302,JScript,2020-03-20 14:28:23,2020-03-20 14:30:23
303,JScript .NET,2020-03-20 14:28:23,2020-03-20 14:30:23
304,JavaFX Script,2020-03-20 14:28:23,2020-03-20 14:30:23
305,Julia,2020-03-20 14:28:23,2020-03-20 14:30:23
306,Jython,2020-03-20 14:28:23,2020-03-20 14:30:23
307,K,2020-03-20 14:28:23,2020-03-20 14:30:23
308,Kaleidoscope,2020-03-20 14:28:23,2020-03-20 14:30:23
309,Karel,2020-03-20 14:28:23,2020-03-20 14:30:23
310,Karel++,2020-03-20 14:28:23,2020-03-20 14:30:23
311,KEE,2020-03-20 14:28:23,2020-03-20 14:30:23
312,Kixtart,2020-03-20 14:28:23,2020-03-20 14:30:23
313,Klerer-May System,2020-03-20 14:28:23,2020-03-20 14:30:23
314,KIF,2020-03-20 14:28:23,2020-03-20 14:30:23
315,Kojo,2020-03-20 14:28:23,2020-03-20 14:30:23
316,Kotlin,2020-03-20 14:28:23,2020-03-20 14:30:23
317,KRC,2020-03-20 14:28:23,2020-03-20 14:30:23
318,KRL,2020-03-20 14:28:23,2020-03-20 14:30:23
319,KUKA Robot Language),2020-03-20 14:28:23,2020-03-20 14:30:23
320,KRYPTON,2020-03-20 14:28:23,2020-03-20 14:30:23
321,ksh,2020-03-20 14:28:23,2020-03-20 14:30:23
322,L,2020-03-20 14:28:23,2020-03-20 14:30:23
323,L# .NET,2020-03-20 14:28:23,2020-03-20 14:30:23
324,LabVIEW,2020-03-20 14:28:23,2020-03-20 14:30:23
325,Ladder,2020-03-20 14:28:23,2020-03-20 14:30:23
326,Lagoona,2020-03-20 14:28:23,2020-03-20 14:30:23
327,LANSA,2020-03-20 14:28:23,2020-03-20 14:30:23
328,Lasso,2020-03-20 14:28:23,2020-03-20 14:30:23
329,LaTeX,2020-03-20 14:28:23,2020-03-20 14:30:23
330,Lava,2020-03-20 14:28:23,2020-03-20 14:30:23
331,LC-3,2020-03-20 14:28:23,2020-03-20 14:30:23
332,Leda,2020-03-20 14:28:23,2020-03-20 14:30:23
333,Legoscript,2020-03-20 14:28:23,2020-03-20 14:30:23
334,LIL,2020-03-20 14:28:23,2020-03-20 14:30:23
335,LilyPond,2020-03-20 14:28:23,2020-03-20 14:30:23
336,Limbo,2020-03-20 14:28:23,2020-03-20 14:30:23
337,Limnor,2020-03-20 14:28:23,2020-03-20 14:30:23
338,LINC,2020-03-20 14:28:23,2020-03-20 14:30:23
339,Lingo,2020-03-20 14:28:23,2020-03-20 14:30:23
340,LIS,2020-03-20 14:28:23,2020-03-20 14:30:23
341,LISA,2020-03-20 14:28:23,2020-03-20 14:30:23
342,Lisaac,2020-03-20 14:28:23,2020-03-20 14:30:23
343,Lisp – ISO/IEC 13816,2020-03-20 14:28:23,2020-03-20 14:30:23
344,Lite-C,2020-03-20 14:28:23,2020-03-20 14:30:23
345,Lithe,2020-03-20 14:28:23,2020-03-20 14:30:23
346,Little b,2020-03-20 14:28:23,2020-03-20 14:30:23
347,Logo,2020-03-20 14:28:23,2020-03-20 14:30:23
348,Logtalk,2020-03-20 14:28:23,2020-03-20 14:30:23
349,LotusScript,2020-03-20 14:28:23,2020-03-20 14:30:23
350,LPC,2020-03-20 14:28:23,2020-03-20 14:30:23
351,LSE,2020-03-20 14:28:23,2020-03-20 14:30:23
352,LSL,2020-03-20 14:28:23,2020-03-20 14:30:23
353,LiveCode,2020-03-20 14:28:23,2020-03-20 14:30:23
354,LiveScript,2020-03-20 14:28:23,2020-03-20 14:30:23
355,Lua,2020-03-20 14:28:23,2020-03-20 14:30:23
356,Lucid,2020-03-20 14:28:23,2020-03-20 14:30:23
357,Lustre,2020-03-20 14:28:23,2020-03-20 14:30:23
358,LYaPAS,2020-03-20 14:28:23,2020-03-20 14:30:23
359,Lynx,2020-03-20 14:28:23,2020-03-20 14:30:23
360,M2001,2020-03-20 14:28:23,2020-03-20 14:30:23
361,MarsCode (programming language),2020-03-20 14:28:23,2020-03-20 14:30:23
362,M4,2020-03-20 14:28:23,2020-03-20 14:30:23
363,M#,2020-03-20 14:28:23,2020-03-20 14:30:23
364,Machine code,2020-03-20 14:28:23,2020-03-20 14:30:23
365,MAD (Michigan Algorithm Decoder),2020-03-20 14:28:23,2020-03-20 14:30:23
366,MAD/I,2020-03-20 14:28:23,2020-03-20 14:30:23
367,Magik,2020-03-20 14:28:23,2020-03-20 14:30:23
368,Magma,2020-03-20 14:28:23,2020-03-20 14:30:23
369,make,2020-03-20 14:28:23,2020-03-20 14:30:23
370,Maple,2020-03-20 14:28:23,2020-03-20 14:30:23
371,MAPPER now part of BIS,2020-03-20 14:28:23,2020-03-20 14:30:23
372,MARK-IV now VISION:BUILDER,2020-03-20 14:28:23,2020-03-20 14:30:23
373,Mary,2020-03-20 14:28:23,2020-03-20 14:30:23
374,MASM Microsoft Assembly x86,2020-03-20 14:28:23,2020-03-20 14:30:23
375,MATH-MATIC,2020-03-20 14:28:23,2020-03-20 14:30:23
376,Mathematica,2020-03-20 14:28:23,2020-03-20 14:30:23
377,MATLAB,2020-03-20 14:28:23,2020-03-20 14:30:23
378,Maxima (see also,2020-03-20 14:28:23,2020-03-20 14:30:23
379,Macsyma ),2020-03-20 14:28:23,2020-03-20 14:30:23
380,Max (Max Msp – Graphical Programming Environment),2020-03-20 14:28:23,2020-03-20 14:30:23
381,MaxScript internal language 3D Studio Max,2020-03-20 14:28:23,2020-03-20 14:30:23
382,Maya (MEL),2020-03-20 14:28:23,2020-03-20 14:30:23
383,MDL,2020-03-20 14:28:23,2020-03-20 14:30:23
384,Mercury,2020-03-20 14:28:23,2020-03-20 14:30:23
385,Mesa,2020-03-20 14:28:23,2020-03-20 14:30:23
386,Metacard,2020-03-20 14:28:23,2020-03-20 14:30:23
387,Metafont,2020-03-20 14:28:23,2020-03-20 14:30:23
388,Microcode,2020-03-20 14:28:23,2020-03-20 14:30:23
389,MicroScript,2020-03-20 14:28:23,2020-03-20 14:30:23
390,MIIS,2020-03-20 14:28:23,2020-03-20 14:30:23
391,MillScript,2020-03-20 14:28:23,2020-03-20 14:30:23
392,MIMIC,2020-03-20 14:28:23,2020-03-20 14:30:23
393,Mirah,2020-03-20 14:28:23,2020-03-20 14:30:23
394,Miranda,2020-03-20 14:28:23,2020-03-20 14:30:23
395,MIVA Script,2020-03-20 14:28:23,2020-03-20 14:30:23
396,ML,2020-03-20 14:28:23,2020-03-20 14:30:23
397,Moby,2020-03-20 14:28:23,2020-03-20 14:30:23
398,Model 204,2020-03-20 14:28:23,2020-03-20 14:30:23
399,Modelica,2020-03-20 14:28:23,2020-03-20 14:30:23
400,Modula,2020-03-20 14:28:23,2020-03-20 14:30:23
401,Modula-2,2020-03-20 14:28:23,2020-03-20 14:30:23
402,Modula-3,2020-03-20 14:28:23,2020-03-20 14:30:23
403,Mohol,2020-03-20 14:28:23,2020-03-20 14:30:23
404,MOO,2020-03-20 14:28:23,2020-03-20 14:30:23
405,Mortran,2020-03-20 14:28:23,2020-03-20 14:30:23
406,Mouse,2020-03-20 14:28:23,2020-03-20 14:30:23
407,MPD,2020-03-20 14:28:23,2020-03-20 14:30:23
408,CIL,2020-03-20 14:28:23,2020-03-20 14:30:23
409,MSL,2020-03-20 14:28:23,2020-03-20 14:30:23
410,MUMPS,2020-03-20 14:28:23,2020-03-20 14:30:23
411,Mystic Programming Language (MPL),2020-03-20 14:28:23,2020-03-20 14:30:23
412,NASM,2020-03-20 14:28:23,2020-03-20 14:30:23
413,Napier88,2020-03-20 14:28:23,2020-03-20 14:30:23
